gene_symbol	cluster	pearson_r	pearson_pvalue	pearson_fdr
SRSF5	6	0.5925355876212302	1.0199936563065105e-7	2.083952556419336e-6
RBM15	6	0.5918927085848332	1.0613075848136707e-7	2.1316093017020334e-6
RBM28	11	0.5905346296746592	9.504265810817591e-5	0.008092203461781834
LUC7L	4	0.590428465170605	2.8190146670275626e-7	2.4122711222135856e-5
DNAJC2	6	0.589857287908228	1.20279096793919e-7	2.3365693393572786e-6
DDX3X	2	0.5878367916444901	2.672429790039979e-9	4.520224102010479e-7
SF3B1	6	0.5866171718633963	1.4653440025171313e-7	2.8006978112625814e-6
DDX42	6	0.5850026408778682	1.6155490005491905e-7	3.003139064255453e-6
NASP	6	0.5849370475983319	1.621948524154844e-7	3.003139064255453e-6
RBM20	11	0.5838809128114694	1.1897627312954922e-4	0.009454647838028178
RNPC3	6	0.583837069902849	1.7328987936968716e-7	3.1592078008166042e-6
CCAR1	6	0.5832211456842059	1.7981152968984722e-7	3.2284342830677112e-6
RBM33	2	0.5823850742121331	4.051859528936234e-9	5.996752102825626e-7
ZNF326	6	0.5810877031937203	2.042381335292228e-7	3.61227146615118e-6
SURF6	1	0.5801962767730745	1.3355491082212623e-13	1.587967889675081e-10
DKC1	2	0.5800718546720703	4.823338722110764e-9	6.345370052199048e-7
NOL8	6	0.5800591869817006	2.171026635794246e-7	3.783333181494384e-6
HNRNPH1	6	0.5786464726080842	2.36023276465195e-7	4.053443226250088e-6
SRRT	11	0.5777823209063211	1.455525062153249e-4	0.00963881041159263
YTHDC2	6	0.577124879165763	2.5813724702377026e-7	4.369894824616682e-6
DDX46	6	0.5749221445936481	2.9363677300671313e-7	4.899911877973296e-6
DDX17	6	0.5741316034457706	3.074639720202114e-7	4.991024751286993e-6
HEATR6	4	0.5727181724442869	7.610533348397899e-7	6.078279300920455e-5
SON	6	0.5715285276249532	3.57459959569725e-7	5.724189893109785e-6
SECISBP2	4	0.5708027105598461	8.444239861715278e-7	6.322624596459314e-5
RBM34	2	0.5705840875559868	9.721460151061291e-9	1.151020881885657e-6
MECP2	6	0.5687745878498736	4.186412734685038e-7	6.5274988034233816e-6
KHDRBS2	4	0.5670279223234052	1.0344233020157572e-6	6.660061298931537e-5
TCERG1	4	0.566879760080684	1.0426426068738716e-6	6.660061298931537e-5
RPUSD4	4	0.5666365065412909	1.0562701559240335e-6	6.660061298931537e-5
RBM28	1	0.5660465512399432	6.899180363384114e-13	4.1015627260318556e-10
TOP3B	4	0.56549765478496306	1.1223235821878893e-6	6.68667731609988e-5
RBM14	6	0.5647915348103593	5.247882120824391e-7	7.890161082659375e-6
MTHFSD	4	0.5646799137825086	1.172122067095972e-6	6.68667731609988e-5
NOP2	6	0.5646080661971582	5.302416077401493e-7	7.890161082659375e-6
SNRNP70	6	0.5645269688369249	5.326691026267932e-7	7.890161082659375e-6
RRP8	6	0.5641897567876059	5.428755753168384e-7	7.942068601857452e-6
THOC1	2	0.5634330242181644	1.6250556647595127e-8	1.7491508246138755e-6
RBBP6	4	0.5626325686117855	1.306043735609355e-6	7.112001796636398e-5
NUFIP2	6	0.5611796425373169	6.425052352788782e-7	9.10339547035905e-6
TSEN2	2	0.5611722248032986	1.906862549775898e-8	1.8814377157788862e-6
DDX55	11	0.561038286261052	2.4816284331629675e-4	0.0134359492015339
CWC27	6	0.5609194046286853	6.518823953288288e-7	9.10339547035905e-6
NSUN2	6	0.5602127718361332	6.779984420196884e-7	9.129865384015122e-6
SMG1	2	0.5593884269394391	2.1614854917069845e-8	1.968614478600823e-6
AKAP8L	1	0.5587520833833471	1.5609338433011746e-12	6.186501132283655e-10
