gene_symbol	plot_groups	pearson_r	pearson_pvalue	pearson_fdr
METAP2	Other CNS embryonal tumor	0.7663432145819071	0.026563936372674176	0.6083615623598504
DDX49	Choroid plexus tumor	-0.7660296237422872	8.226672153414573e-5	0.0023549634907135985
ZCCHC17	Rare CNS tumor	-0.7659073206521128	3.377244826094894e-4	0.05712368391566221
KPNA2	Neurofibroma plexiform	-0.7658432107093941	0.009805240731366937	0.18611610296796566
ZNHIT6	Schwannoma	0.7656133767551013	0.0022835509308625703	0.03398269511735689
LSM3	Atypical teratoid rhabdoid tumor	-0.7655759831487705	1.3048642603614718e-5	0.0016948930714228044
ACIN1	Schwannoma	0.7652874346278401	0.002299503342335806	0.03398269511735689
MEPCE	Choroid plexus tumor	-0.7652586480551222	8.447894026068454e-5	0.0023549634907135985
EIF4G2	Choroid plexus tumor	-0.7651202815558554	8.488133285891428e-5	0.0023549634907135985
SUMO2	Schwannoma	0.7648107382587668	0.0023229901959576724	0.03398269511735689
FASTK	Mesenchymal tumor	0.7646979607411463	3.4969046515324214e-4	0.05219130192412139
DMGDH	Neurofibroma plexiform	-0.7646650012936742	0.009988635924345696	0.18611610296796566
CPSF3	Neurofibroma plexiform	-0.7646427843594573	0.009992117147506538	0.18611610296796566
THUMPD1	Schwannoma	0.7645522152687384	0.002335805529892995	0.03398269511735689
RSRC2	Other CNS embryonal tumor	0.7643754758410157	0.027196993220374967	0.6083615623598504
DUSP14	Neurofibroma plexiform	-0.7642652283236804	0.010051408020297659	0.18611610296796566
SSR1	Neurofibroma plexiform	-0.7640752642875831	0.010081333199876292	0.18611610296796566
UBAP2	Schwannoma	0.7637981487467453	0.0023735003466110864	0.03398269511735689
MRPS14	Neurofibroma plexiform	-0.7637025979693892	0.010140221784690952	0.18611610296796566
SNRPD3	Choroid plexus tumor	-0.7632827143363509	9.038368570901963e-5	0.002378084508604875
RBFOX1	Other CNS embryonal tumor	0.763066473444932	0.027623231401515704	0.6083615623598504
VCP	Choroid plexus tumor	-0.7629258003507501	9.148724263141253e-5	0.002378084508604875
UBE2L3	Neurofibroma plexiform	-0.7625824691032769	0.010318681851051212	0.18611610296796566
EIF5A	Choroid plexus tumor	-0.7622597572065133	9.35776111455815e-5	0.002378084508604875
NOL7	Choroid plexus tumor	-0.7622248917381027	9.368815750580815e-5	0.002378084508604875
DHX15	Schwannoma	0.7621235404013118	0.0024589056350295397	0.03398269511735689
SRSF9	Other CNS embryonal tumor	-0.7616078111741517	0.02810302814161245	0.6083615623598504
CGGBP1	Schwannoma	0.761507467126208	0.002490920067855194	0.03398269511735689
RBM10	Schwannoma	0.7615066909599044	0.0024909606050608226	0.03398269511735689
RRP8	Other CNS embryonal tumor	0.7610061441961531	0.02830241985995919	0.6083615623598504
SMG1	Schwannoma	0.7608557869760582	0.002525136830648494	0.03398269511735689
FASN	Neurofibroma plexiform	-0.760832235270205	0.010601939048204164	0.18611610296796566
WDR36	Neurofibroma plexiform	-0.7604862419220559	0.01065857495837441	0.18611610296796566
RPL23	Germ cell tumor	-0.7604030146276438	0.028503169032703182	0.9965170093839139
RPN1	Atypical teratoid rhabdoid tumor	-0.7595837212042461	1.670642368496794e-5	0.0016948930714228044
MRPL20	Atypical teratoid rhabdoid tumor	-0.7592432588023525	1.6939062040954397e-5	0.0016948930714228044
MSI1	Germ cell tumor	-0.7589077929072229	0.029004623506422078	0.9965170093839139
PDCD7	Schwannoma	0.7587607982164333	0.0026376182721644698	0.03398269511735689
MRPL13	Atypical teratoid rhabdoid tumor	-0.7586403672298919	1.7358046591976038e-5	0.0016948930714228044
TARDBP	Schwannoma	0.7585697426981045	0.0026480667444525627	0.03398269511735689
DHX35	Schwannoma	0.7584943771544382	0.0026521971847384934	0.03398269511735689
SNRPE	Neurofibroma plexiform	-0.7584693524620992	0.010992963736831373	0.18611610296796566
RPL18A	Germ cell tumor	-0.7581598073855422	0.02925750017513595	0.9965170093839139
YTHDC2	Neurofibroma plexiform	-0.7581526395759522	0.01104613434903551	0.18611610296796566
SRP68	Choroid plexus tumor	-0.757498738972743	1.0975205611087933e-4	0.002727795894589147
ZCCHC3	Schwannoma	0.7571847166220952	0.0027247768316345606	0.03398269511735689
LUC7L3	Other CNS embryonal tumor	0.7570559021285587	0.029633177063992596	0.6083615623598504
NOL11	Neurofibroma plexiform	-0.7570158065050648	0.011238477747865277	0.18611610296796566
RAVER2	Rare CNS tumor	-0.7569502346752092	4.35043170076376e-4	0.059916941206323265
DUS3L	Other CNS embryonal tumor	0.756514863139206	0.02981837949481972	0.6083615623598504
RPS18	Schwannoma	0.7564997121649111	0.0027633485207418755	0.03398269511735689
SRSF4	Schwannoma	0.7563693147999938	0.0027707388383989345	0.03398269511735689
CLK2	Schwannoma	0.7562036271099504	0.0027801513894294082	0.03398269511735689
GIGYF2	Schwannoma	0.7561958356606601	0.0027805946245602117	0.03398269511735689
DDX42	Schwannoma	0.7560127831692766	0.0027910238066149195	0.03398269511735689
OLA1	Rare CNS tumor	-0.7552878215941735	4.5544972200752486e-4	0.059916941206323265
XRN1	Schwannoma	0.7552203397736206	0.0028365232676415063	0.03398269511735689
KTN1	Other CNS embryonal tumor	0.7551122631726148	0.03030181163860953	0.6083615623598504
TRPT1	Choroid plexus tumor	-0.7550707745473445	1.188864863319325e-4	0.0028945220039590914
HSPA1L	Schwannoma	0.7550541350677669	0.002846138840343421	0.03398269511735689
ZNF138	Schwannoma	0.7548191869000335	0.00285977464726843	0.03398269511735689
SDAD1	Neurofibroma plexiform	-0.7545104281968662	0.011670652868895858	0.18611610296796566
IMP3	Choroid plexus tumor	-0.754263470615873	1.2206479605110378e-4	0.002912466033779336
RPL12	Germ cell tumor	-0.7541683298313072	0.03062985066878713	0.9965170093839139
