gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
CCDC124	2326.436855322674	-0.16806216780674163	0.06933137707342228	-2.42404196917599	0.015348831542731244	0.02264581975840332	P-Adj < 0.05
MRPL28	1611.7277136574912	-0.13821211158089874	0.047299259205146306	-2.9220777217978253	0.0034770476199372856	0.005654777445055901	P-Adj < 0.05
DDX49	1839.8186117442724	0.1341493110855574	0.04211852161611915	3.1850432051778665	0.0014473239820346417	0.0024505375914997494	P-Adj < 0.05
ISG20L2	1478.6307001540658	0.1668281487104245	0.03485300158713705	4.78662213047368	1.696117422165576e-6	3.933210382357696e-6	P-Adj < 0.05
FASTKD2	1556.6323275762775	0.15515391099184767	0.058642596479376446	2.645754456769535	0.008150895801121357	0.012561729688511217	P-Adj < 0.05
APOBEC3C	1656.881621877701	-1.1008060971089837	0.1504187874315203	-7.318275302612295	2.5117816092101444e-13	1.27236150368186e-12	P-Adj < 0.05
ZNF598	1905.8333180297282	0.32326932201964237	0.0554486568451766	5.830065873773516	5.54054996079041e-9	1.7249671918229087e-8	P-Adj < 0.05
ADARB1	2640.505188525981	0.46162978255614784	0.09846043953085626	4.688479807278119	2.752420686328061e-6	6.25366170643655e-6	P-Adj < 0.05
SPATS2	1328.0364747012886	0.6477501001456835	0.06411658313526199	10.10269213471924	5.374610776115255e-24	6.449532931338306e-23	P-Adj < 0.05
AKAP8	1861.130753484561	0.3754345704592457	0.04275871181085584	8.780305920346462	1.6303060826562007e-18	1.2515890174925863e-17	P-Adj < 0.05
MTPAP	1865.6491796995103	0.12463584167211558	0.04748912679533478	2.6245132324555507	0.00867729208028504	0.013323146597804111	P-Adj < 0.05
NQO1	1229.4823082834678	-0.47460323498951196	0.1395681586644869	-3.4005122624740527	6.725971908817368e-4	0.001194439838979636	P-Adj < 0.05
SDAD1	1506.4007268411603	0.1509204202341108	0.04042374955969957	3.733459213406834	1.8886779024536657e-4	3.5531292046160287e-4	P-Adj < 0.05
NOP2	1203.1013720269407	0.49518332701172163	0.06145586300270204	8.057544110802738	7.784250710577021e-16	4.71634013640843e-15	P-Adj < 0.05
TBRG4	1619.4155966425733	0.3689392144487693	0.043655657832983155	8.451120261668	2.885208705033322e-17	1.9594054722094429e-16	P-Adj < 0.05
NDUFV3	2493.59888018311	0.2794345834268751	0.04511686096366054	6.1935732552835665	5.88153338905674e-10	2.082972856410926e-9	P-Adj < 0.05
PRPF4	1310.279370791223	0.25207458401439087	0.039238005956971606	6.424245520804901	1.325251588575023e-10	4.97875672789887e-10	P-Adj < 0.05
SLC16A3	2973.1459454644964	1.0151361872715603	0.16328260064525676	6.217050581384461	5.06586501065763e-10	1.8044406781477897e-9	P-Adj < 0.05
MFAP1	1503.3198194922322	0.0916685467312758	0.04285302699122353	2.139138193202778	0.03242447800828341	0.045854296130707434	P-Adj < 0.05
UTP18	1442.7312840083405	0.1209954595753752	0.03387126453084226	3.572215600784553	3.5397380208914716e-4	6.452973737200382e-4	P-Adj < 0.05
EXOSC2	1645.2523600960028	0.5833597932969202	0.04181717555182153	13.950243783777248	3.135318730593459e-44	1.761479068642507e-42	P-Adj < 0.05
UTP6	1350.7002202797012	0.4979896894170903	0.03761921144252477	13.23764295745345	5.319210641073926e-40	1.9922861673840523e-38	P-Adj < 0.05
RBM15	2173.5421991522735	0.6384397245848116	0.04584451348152121	13.92619696666976	4.3912266031206977e-44	2.3598069919379052e-42	P-Adj < 0.05
RBM34	998.3338631814663	0.16747146762894458	0.03749555269826383	4.466435499074509	7.953362645811155e-6	1.7648754452823316e-5	P-Adj < 0.05
