Kids_First_Biospecimen_ID	Astrocytes	Endothelial	Microglia	Neurons	Oligodendrocytes	OPCs
BS_478TN841	0.0481190300968203	-0.005595303559860161	0.03671626175983267	-0.01393633395077322	0.0017568541529005698	0.010503847936505871
BS_EXGBH3TD	0.02757601047892168	-0.013161513566846377	0.03639023617116082	-0.017949898270937632	-0.006067472759365819	0.026817415234059904
BS_QB7YGKN1	-0.008451843934539521	-0.01351259924613385	0.012089745870842914	-0.01588996710903414	-0.006384034208865479	0.05327175482236753
BS_593HEWBF	0.018289342372255338	-0.012169838129765949	0.00976211889317716	-0.019344042540940038	-0.005137403901321985	0.0022211701634783703
BS_W7FP2G3F	0.009618311498603706	-0.011897894689758213	0.08466983455296455	-0.022372629265654854	-0.002994423522751033	-0.00756349514494155
BS_H1XPVS9A	-0.01737575521197182	-0.012727131215983008	0.026378036371802988	-0.014959655447160105	-0.007768765956731738	0.0025589127048042657
BS_0C7VZC0A	-0.005263316391990309	-0.01271889388203959	-0.004206414884259867	-0.020041701271126863	-0.005120642025032493	0.02153981654698341
BS_2EN3X6HB	0.02635737107413892	-0.013369049469292196	0.00759494692884992	-0.017149863287789564	-0.008467672255004681	-0.004007811813157843
BS_PGHK1JRW	0.014253651751485144	-0.011140615023688566	0.052849114891460144	-0.010351171441674493	0.01833210882104325	-0.015941800499615372
BS_GJNCYABP	-0.019204379966835914	-0.011669815594158334	0.09815319811329754	-0.023450836789664302	0.0029548321407337013	-0.013036558532850618
BS_JX7S9MY7	0.03911962071479343	0.015091107630202986	0.019311841767972186	-0.023924596346615666	0.004337672499743461	-0.0178713761962049
BS_GMDQK06Q	0.06589039073850607	-0.011901691465436157	0.0395639337149669	-0.018565633354482337	-0.007684123097093959	-0.01654576154950618
BS_GMJBGBWB	0.09848684103645745	-0.010434309283936518	0.06168546030896837	-0.02055399403513935	-0.006969837356034341	-0.012195783604192408
BS_S6NJRR5W	0.06463833338826801	-0.008969717506742622	0.005160389070130873	-0.020549809405378667	-0.006967715189037356	-0.02103005431995302
BS_PJC6FH4Y	0.02188187399537206	-0.0012006859616169596	0.03863962387651882	-0.018071020264577072	-0.0028601874412814933	-0.008750509324960699
BS_VKYEM67A	-0.0010333833055467794	0.031328375687011877	0.008122514415361527	-0.02103689764889338	-2.793781053217093e-4	-0.015220192859943124
BS_S3MET0JZ	0.07787282535711737	-0.013555360376699532	0.0021188461351841718	-0.020925833415549086	-6.951166670306483e-4	-0.019232759265354827
BS_TR2P8KRF	-0.008033796456290872	-6.738062021437469e-4	-0.015790304055685815	-0.0167585865669649	-0.0052704697527503905	0.29908943725341547
BS_4C6B11E4	-0.013286442340528793	0.008132706872173833	-0.014267764229242946	-0.02033132830709819	-0.002323124366690946	-0.013315883685780277
BS_51RA1PGE	-0.016171049153408803	-0.012396593706585302	-0.014744825953618949	-0.013125256598540991	-0.008984799182627932	-0.01932173028032011
BS_4B0BAVTX	-0.010237274237669729	-0.012017459325465555	0.008867801087397735	-0.011767522905895984	-0.00537049368925342	-0.01916375585478673
BS_9ZJT0CP0	0.00970399062345833	-0.0067146251202731926	-0.012203418621562415	-0.008594093687826402	8.139922640047307e-4	7.571986536329496e-4
BS_NR3P3GN2	-0.02238292118657696	0.021653803796179035	-0.004559295054248002	-0.0248757102762335	-0.007937813489867036	-0.011037934839171698
BS_CXVJK2FY	-0.00424170127228986	0.12377950758678813	-0.015112921471807882	-0.02359666018902535	-0.008946307440308594	-0.014067367244134167
BS_0QYS36NR	0.015080137010675515	0.014706774173336653	0.01575112864080921	-0.02420810025443136	-0.00897723295217174	-0.021498945709732785
BS_1J2WQ08M	-0.01815832197529222	0.026754189973331968	-0.007647185341384315	-0.026391069062626622	-0.008926577486128467	-0.020841721353433953
BS_AG3D3435	0.009771897334047413	-0.012989952411150673	0.013530844274729047	-0.013214369803861528	-0.008237262164018485	-0.02084068878494385
BS_C51RB0YR	7.165945024955777e-5	-0.010367902079042044	0.019756475154045654	-0.012844444921648122	-0.008872771023752871	-0.021106771488922964
BS_D3YBV7KB	0.20814184975124925	-0.01248884887348231	0.08808529430111885	-0.01604117502037045	-0.008461458480503198	-0.018295771328976203
BS_B6M763JS	-0.0052247384456978584	-0.013358768154301823	-0.019036699312108593	-0.01678308770272942	-0.008830818566396151	-0.021953401164986685
BS_AVYNZHSB	-7.490351232773623e-4	-0.012958580025799157	-0.020526359234788676	-0.013934189396324667	-0.008459530187961544	-0.021955019448855
BS_B3M5SGPA	0.023081316436750172	-0.01219180965704904	-0.006679208575075731	-0.015755842773633445	-0.008653895994839012	-0.021202501152523617
BS_JG9JZTA9	-0.01937289836536092	-0.013434764539371853	-0.002013698818000102	-0.019484783549363602	-0.008487087172114388	-0.021619715788368986
BS_2YCJV2VV	0.0022200996324450084	0.03608935123174323	0.008610752433088887	-0.02233940336552171	-0.004388609184567191	0.0014718049433785486
BS_3TQSE8HF	-0.014456685924903803	-0.013637779328170598	0.007142706169611991	-0.003967366904792853	-0.008759450664756668	-0.022123675462032644
BS_2R9TCR03	0.04233865557805171	-0.013589666302229938	0.014941155811581263	-0.016981168805886307	-0.007935421375918806	-0.019205722908438316
BS_ZVZDDW2G	0.005529112901164448	0.18959720869245406	0.03563983476303166	-0.02463542687909396	-0.00892845171489397	-0.021127426666626387
BS_EYYMKWB7	-0.004983839403452177	-0.013537849142364654	-0.022981893316498535	-0.013189060075902643	-0.008492264881753638	-0.02212345911748334
